image_name,target
ISIC_0052060,0.0011733192
ISIC_0052349,0.6240719
ISIC_0058510,0.9772888
ISIC_0073313,0.00044165374
ISIC_0073502,0.089504905
ISIC_0074618,0.04394018
ISIC_0076801,0.00012044297
ISIC_0077586,0.95464426
ISIC_0082004,0.7431776
ISIC_0082785,1.0
ISIC_0085332,0.004710632
ISIC_0087243,2.0344703e-05
ISIC_0088167,0.0014471889
ISIC_0089356,0.0075603346
ISIC_0090283,0.9935442
ISIC_0092481,0.99254745
ISIC_0095455,0.0024191076
ISIC_0095790,0.56791043
ISIC_0097719,0.97596776
ISIC_0099348,0.98901176
ISIC_0101040,0.15081543
ISIC_0101383,0.020720918
ISIC_0105104,0.98861885
ISIC_0108196,0.06755955
ISIC_0112420,0.07901196
ISIC_0114232,2.0826083e-05
ISIC_0115798,0.060705252
ISIC_0116844,0.073395185
ISIC_0126432,7.467357e-05
ISIC_0131485,0.0014305423
ISIC_0131912,0.00015957865
ISIC_0131978,0.025778193
ISIC_0139322,0.0102731725
ISIC_0142066,0.12522228
ISIC_0143109,0.14753626
ISIC_0148210,0.10080209
ISIC_0148937,0.9053495
ISIC_0150213,0.2314868
ISIC_0152553,5.5432523e-08
ISIC_0153127,0.9905634
ISIC_0154289,0.00033196528
ISIC_0155813,0.9623178
ISIC_0155983,0.99998474
ISIC_0157088,0.0145518165
ISIC_0158761,0.05597273
ISIC_0161963,0.49663332
ISIC_0165178,0.12167201
ISIC_0165230,0.998055
ISIC_0165615,0.0050484627
ISIC_0165617,0.004745959
ISIC_0165674,0.00043484644
ISIC_0165928,0.10692569
ISIC_0166561,0.0017678923
ISIC_0168125,0.45172432
ISIC_0169378,0.005961482
ISIC_0169575,0.0349597
ISIC_0169906,0.99228656
ISIC_0171865,0.9398308
ISIC_0172678,0.00068741274
ISIC_0174800,0.0015670665
ISIC_0175014,0.09618069
ISIC_0175798,0.97642255
ISIC_0176152,7.597154e-06
ISIC_0177083,0.13058499
ISIC_0178235,0.9422362
ISIC_0178258,0.000633487
ISIC_0178428,0.98950773
ISIC_0178741,0.96075684
ISIC_0180057,0.27579737
ISIC_0182213,0.99664307
ISIC_0183334,0.024841439
ISIC_0183449,0.85167414
ISIC_0183658,0.0013037446
ISIC_0183771,0.15313861
ISIC_0186715,0.99321026
ISIC_0187786,0.008846419
ISIC_0188485,3.9863233e-05
ISIC_0191895,0.6168431
ISIC_0192184,0.08847365
ISIC_0192807,0.17775488
ISIC_0193289,0.9833423
ISIC_0194115,0.06267286
ISIC_0195744,0.058599006
ISIC_0195995,0.19679856
ISIC_0196159,0.94570374
ISIC_0196622,0.0033414601
ISIC_0196807,0.00012013555
ISIC_0197182,0.0007215865
ISIC_0197440,0.0031141825
ISIC_0197860,0.15143283
ISIC_0198376,1.0732999e-05
ISIC_0198622,0.0024026243
ISIC_0199195,0.023844648
ISIC_0199718,0.83965534
ISIC_0199780,0.0121779125
ISIC_0200120,0.9890892
ISIC_0204399,0.3842574
ISIC_0204875,0.0015593548
ISIC_0205627,0.60764873
ISIC_0206261,0.088761844
ISIC_0206934,0.016310511
ISIC_0207197,0.5994019
ISIC_0208233,0.8382347
ISIC_0209640,0.00080306135
ISIC_0210915,0.9460539
ISIC_0212435,0.24336812
ISIC_0212468,0.00031943223
ISIC_0213848,0.00012971406
ISIC_0216203,0.39807758
ISIC_0216447,0.937724
ISIC_0220438,0.99958843
ISIC_0220466,0.008843091
ISIC_0223354,0.9409194
ISIC_0223463,0.98157275
ISIC_0223760,0.19475558
ISIC_0224309,0.0030214265
ISIC_0225471,0.022047164
ISIC_0225894,0.12245143
ISIC_0226234,0.084227555
ISIC_0227767,0.071684845
ISIC_0228452,0.00023540232
ISIC_0229266,0.00018278074
ISIC_0230247,0.39764333
ISIC_0230499,0.9999676
ISIC_0231539,0.0030335807
ISIC_0231788,2.0243155e-05
ISIC_0232763,0.23837751
ISIC_0235107,0.20885082
ISIC_0235501,0.99984515
ISIC_0235505,0.004081015
ISIC_0235542,0.0007343108
ISIC_0238185,0.0014653465
ISIC_0238872,0.99975604
ISIC_0239635,0.8891366
ISIC_0240839,0.0032026859
ISIC_0241566,0.83931464
ISIC_0243686,0.57078874
ISIC_0243937,0.23415604
ISIC_0244266,0.7460565
ISIC_0244465,0.028581945
ISIC_0244617,0.11644869
ISIC_0244885,0.00012729575
ISIC_0245273,0.17926545
ISIC_0246008,0.084911264
ISIC_0246211,0.00029821653
ISIC_0248702,0.022820363
ISIC_0251455,0.07264374
ISIC_0251656,0.9336702
ISIC_0252811,0.8580064
ISIC_0254594,0.29201433
ISIC_0255112,0.30356333
ISIC_0256267,2.1489151e-07
ISIC_0258149,0.9674064
ISIC_0258489,4.1839016e-06
ISIC_0258717,0.26555207
ISIC_0259209,0.54758716
ISIC_0259237,0.29964018
ISIC_0261866,0.3291913
ISIC_0261904,0.11467168
ISIC_0261907,0.1639375
ISIC_0262392,0.23332636
ISIC_0262492,0.00055018486
ISIC_0263920,0.03387637
ISIC_0265011,0.95474726
ISIC_0267082,0.96472645
ISIC_0268025,2.756337e-07
ISIC_0268451,0.07661351
ISIC_0269476,0.00035423297
ISIC_0270022,0.033154234
ISIC_0270367,0.5837469
ISIC_0271223,0.8154636
ISIC_0272190,0.06310529
ISIC_0273533,0.5418805
ISIC_0274458,0.010587668
ISIC_0274698,0.87289155
ISIC_0274789,1.0
ISIC_0276718,0.18019335
ISIC_0280382,0.01300273
ISIC_0280752,0.0017561268
ISIC_0280782,0.99933124
ISIC_0280827,0.9691366
ISIC_0281227,0.00017350112
ISIC_0282269,0.0016751423
ISIC_0282486,0.120189
ISIC_0282737,0.8288943
ISIC_0284147,0.0024434878
ISIC_0284441,0.003950104
ISIC_0284485,0.006322155
ISIC_0285491,0.0009901498
ISIC_0285697,0.06066966
ISIC_0286688,0.058753423
ISIC_0287132,0.0077375844
ISIC_0287325,0.9999738
ISIC_0288225,6.47769e-05
ISIC_0290187,8.811294e-07
ISIC_0291705,0.004228819
ISIC_0292996,0.023922076
ISIC_0294150,0.00051853625
ISIC_0296540,0.090379804
ISIC_0297539,0.023058603
ISIC_0297702,0.0003097396
ISIC_0298417,0.99801046
ISIC_0299870,0.9687298
ISIC_0300002,0.00014262224
ISIC_0301547,0.754831
ISIC_0301769,0.08671859
ISIC_0304467,0.0016738549
ISIC_0304666,0.25795886
ISIC_0304667,0.13394733
ISIC_0306094,0.6331482
ISIC_0307004,0.27334505
ISIC_0307411,0.0005690006
ISIC_0309192,0.007943336
ISIC_0309503,0.9933895
ISIC_0310320,0.8203523
ISIC_0311235,0.988342
ISIC_0311814,0.0014762221
ISIC_0312717,0.8889879
ISIC_0313675,0.8144592
ISIC_0317285,0.99996185
ISIC_0318934,0.032408975
ISIC_0319131,0.0006181638
ISIC_0319990,0.01673428
ISIC_0320662,8.805948e-05
ISIC_0321218,0.018219573
ISIC_0321906,0.014963501
ISIC_0321948,0.0003016784
ISIC_0322514,0.93380797
ISIC_0327756,0.99804723
ISIC_0328346,0.07741229
ISIC_0328687,7.073103e-06
ISIC_0328823,0.00027815875
ISIC_0329169,0.00017458544
ISIC_0329910,0.008197623
ISIC_0330060,0.99991655
ISIC_0330886,0.7000372
ISIC_0332421,0.0053598857
ISIC_0332456,0.99324024
ISIC_0334179,0.0040543512
ISIC_0335244,0.37315494
ISIC_0335886,0.0038062583
ISIC_0336093,0.09729638
ISIC_0338118,0.040351916
ISIC_0338587,0.00013892275
ISIC_0339455,0.0083745355
ISIC_0340198,0.8916593
ISIC_0340572,0.4328547
ISIC_0341315,0.057027042
ISIC_0343131,0.9983652
ISIC_0343283,0.5170382
ISIC_0346766,0.7099907
ISIC_0347157,0.90061074
ISIC_0348342,0.0018082839
ISIC_0350347,0.2170727
ISIC_0350470,1.1015136e-05
ISIC_0351156,0.99999905
ISIC_0351912,6.8449364e-05
ISIC_0352620,0.5172453
ISIC_0353021,0.0027575253
ISIC_0355377,0.00071346824
ISIC_0358260,0.084313646
ISIC_0358623,0.007976317
ISIC_0359676,0.33452037
ISIC_0359720,0.087200925
ISIC_0361122,0.025587365
ISIC_0366488,0.020844132
ISIC_0367795,0.9693953
ISIC_0367988,0.9986897
ISIC_0368092,0.0057527795
ISIC_0368696,0.03249935
ISIC_0369888,0.9763347
ISIC_0370322,0.00068678934
ISIC_0371470,0.6513819
ISIC_0371907,0.077167615
ISIC_0372927,0.05847211
ISIC_0372955,0.84736633
ISIC_0372971,0.12050102
ISIC_0373723,0.00015261227
ISIC_0375431,0.78859764
ISIC_0377642,0.00463302
ISIC_0378391,0.25897524
ISIC_0378668,0.49974844
ISIC_0379549,0.12681933
ISIC_0380224,0.10933302
ISIC_0381595,0.096958056
ISIC_0382931,0.07609218
ISIC_0383641,0.86126786
ISIC_0383780,3.8225303e-06
ISIC_0385415,0.9999975
ISIC_0385463,0.030775543
ISIC_0385865,0.99998856
ISIC_0388802,0.0017923819
ISIC_0389010,0.2798655
ISIC_0389392,0.005758802
ISIC_0389675,0.72988087
ISIC_0390209,0.18803935
ISIC_0391046,0.19771454
ISIC_0391777,0.009890002
ISIC_0392680,0.83088684
ISIC_0392931,0.00061862054
ISIC_0393891,0.32930925
ISIC_0394533,0.45609078
ISIC_0394763,0.2545263
ISIC_0394802,0.9938446
ISIC_0395681,0.026556244
ISIC_0395885,0.009847931
ISIC_0398134,0.98175734
ISIC_0400652,0.014439299
ISIC_0401679,0.00016648887
ISIC_0403198,0.23470813
ISIC_0406137,0.024806943
ISIC_0407054,0.11196261
ISIC_0407220,0.0004675437
ISIC_0408372,3.734884e-05
ISIC_0408969,0.002922271
ISIC_0409388,0.030847227
ISIC_0410649,0.0003999502
ISIC_0411243,0.10698207
ISIC_0414776,0.00812969
ISIC_0416431,0.0013576192
ISIC_0416708,0.0006361426
ISIC_0418978,0.06073172
ISIC_0419005,0.9999722
ISIC_0421107,0.9927008
ISIC_0424070,0.00092268817
ISIC_0426960,0.028014312
ISIC_0427371,0.0005155969
ISIC_0429551,0.0042819297
ISIC_0431350,0.00052490167
ISIC_0431499,0.7928224
ISIC_0431738,0.0028015277
ISIC_0432133,0.755422
ISIC_0432265,0.98584217
ISIC_0432894,0.3111058
ISIC_0433895,0.025812907
ISIC_0434253,0.9252921
ISIC_0434274,0.004271013
ISIC_0434285,2.8862843e-05
ISIC_0434890,0.024237713
ISIC_0434920,0.0013472063
ISIC_0435283,0.08182568
